Date,Source,Open,High,Low,Close,Adj Close,Volume,Stock
6/14/2017,yahoo,988.590027,990.340027,966.710022,976.469971,976.469971,3974900,amazon
6/15/2017,yahoo,958.700012,965.72998,950.859985,964.169983,964.169983,5373900,amazon
6/16/2017,yahoo,996,999.75,982,987.710022,987.710022,11472700,amazon
6/19/2017,yahoo,1017,1017,989.900024,995.169983,995.169983,5043400,amazon
6/20/2017,yahoo,998,1004.880005,992.02002,992.590027,992.590027,4076800,amazon
6/21/2017,yahoo,998.700012,1002.719971,992.650024,1002.22998,1002.22998,2922500,amazon
6/22/2017,yahoo,1002.22998,1006.960022,997.200012,1001.299988,1001.299988,2253400,amazon
6/23/2017,yahoo,1002.539978,1004.619995,998.02002,1003.73999,1003.73999,2879100,amazon
6/26/2017,yahoo,1008.5,1009.799988,992,993.97998,993.97998,3386200,amazon
6/27/2017,yahoo,990.690002,998.799988,976,976.780029,976.780029,3782400,amazon
6/28/2017,yahoo,978.549988,990.679993,969.210022,990.330017,990.330017,3737600,amazon
6/29/2017,yahoo,979,987.559998,965.25,975.929993,975.929993,4303000,amazon
6/30/2017,yahoo,980.119995,983.469971,967.609985,968,968,3390300,amazon
7/3/2017,yahoo,972.789978,974.48999,951,953.659973,953.659973,2909100,amazon
7/5/2017,yahoo,961.530029,975,955.25,971.400024,971.400024,3653000,amazon
7/6/2017,yahoo,964.659973,974.400024,959.02002,965.140015,965.140015,3259600,amazon
7/7/2017,yahoo,969.549988,980.109985,969.140015,978.76001,978.76001,2643400,amazon
7/10/2017,yahoo,985,999.440002,983.5,996.469971,996.469971,3546300,amazon
7/11/2017,yahoo,993,995.98999,983.719971,994.130005,994.130005,2982700,amazon
7/12/2017,yahoo,1000.650024,1008.549988,998.099976,1006.51001,1006.51001,3608600,amazon
7/13/2017,yahoo,1004.619995,1006.880005,995.900024,1000.630005,1000.630005,2880800,amazon
7/14/2017,yahoo,1002.400024,1004.450012,996.890015,1001.809998,1001.809998,2102500,amazon
7/17/2017,yahoo,1004.690002,1014.75,1003.809998,1010.039978,1010.039978,3712600,amazon
